index,chinese_idiom,pinyin
266,乱臣贼子,luan4 chen2 zei2 zi
267,乳臭未干,ru3 xiu4 wei4 gan1
268,了如指掌,liao3 ru2 zhi3 zhang3
269,争先恐后,zheng1 xian1 kong3 hou4
270,争分夺秒,zheng1 fen1 duo2 miao3
271,争名夺利,zheng1 ming2 duo2 li4
272,争奇斗异,zheng1 qi2 dou4 yi4
273,争风吃醋,zheng1 feng1 chi1 cu4
274,事不宜迟,shi4 bu4 yi2 chi2
275,事与愿违,shi4 yu3 yuan4 wei2
276,事出有因,shi4 chu1 you3 yin1
277,事半功倍,shi4 ban4 gong1 bei4
278,事在人为,shi4 zai4 ren2 wei2
279,事必躬亲,shi4 bi4 gong1 qin1
280,事过境迁,shi4 guo4 jing4 qian1
281,二三其德,er4 san1 qi2 de2
282,二满三平,er4 man3 san1 ping2
283,云消雨霁,yun2 xiao1 yu3 ji4
284,云淡风轻,yun2 dan4 feng1 qing1
285,云蒸霞蔚,yun2 zheng1 xia2 wei4
286,云谲波诡,yun2 jue2 bo1 gui3
287,云霞满纸,yun2 xia2 man3 zhi3
288,云飞泥沉,yun2 fei1 ni2 chen2
289,互为表里,hu4 wei2 biao3 li3
290,五体投地,wu3 ti3 tou2 di4
291,五光十色,wu3 guang1 shi2 se4
292,五劳七伤,wu3 lao2 qi1 shang1
293,五子登科,wu3 zi deng1 ke1
294,五彩缤纷,wu3 cai3 bin1 fen1
295,五湖四海,wu3 hu2 si4 hai3
296,五花八门,wu3 hua1 ba1 men2
297,五谷丰登,wu3 gu3 feng1 deng1
298,五雀六燕,wu3 que4 liu4 yan4
299,五颜六色,wu3 yan2 liu4 se4
300,五黄六月,wu3 huang2 liu4 yue4
301,井井有条,jing3 jing3 you3 tiao2
302,井底之蛙,jing3 di3 zhi1 wa1
303,井然有序,jing3 ran2 you3 xu4
304,亡命之徒,wang2 ming4 zhi1 tu2
305,亡羊补牢,wang2 yang2 bu3 lao2
306,亢龙有悔,kang4 long2 you3 hui3
307,交口称誉,jiao1 kou3 cheng1 yu4
308,交头接耳,jiao1 tou2 jie1 er3
309,交浅言深,jiao1 qian3 yan2 shen1
310,交相辉映,jiao1 xiang1 hui1 ying4
311,亥豕鲁鱼,hai4 shi3 lu3 yu2
312,亦步亦趋,yi4 bu4 yi4 qu1
313,亭亭玉立,ting2 ting2 yu4 li4
314,亲密无间,qin1 mi4 wu2 jian4
315,亲痛仇快,qin1 tong4 chou2 kuai4
316,人一己百,ren2 yi1 ji3 bai3
317,人之常情,ren2 zhi1 chang2 qing2
318,人云亦云,ren2 yun2 yi4 yun2
319,人人自危,ren2 ren2 zi4 wei1
320,人仰马翻,ren2 yang3 ma3 fan1
321,人命关天,ren2 ming4 guan1 tian1
322,人困马乏,ren2 kun4 ma3 fa2
323,人存政举,ren2 cun2 zheng4 ju3
324,人定胜天,ren2 ding4 sheng4 tian1
325,人寿年丰,ren2 shou4 nian2 feng1
326,人尽其才,ren2 jin4 qi2 cai2
327,人山人海,ren2 shan1 ren2 hai3
328,人强马壮,ren2 qiang2 ma3 zhuang4
329,人微言轻,ren2 wei1 yan2 qing1
330,人心所向,ren2 xin1 suo3 xiang4
331,人情世故,ren2 qing2 shi4 gu4
332,人才济济,ren2 cai2 ji3 ji3
333,人杰地灵,ren2 jie2 di4 ling2
334,人烟稠密,ren2 yan1 chou2 mi4
335,人琴俱亡,ren2 qin2 ju4 wang2
336,人神共愤,ren2 shen2 gong4 fen4
337,人约黄昏,ren2 yue1 huang2 hun1
338,人言可畏,ren2 yan2 ke3 wei4
339,人赃俱获,ren2 zang1 ju4 huo4
340,人间天堂,ren2 jian1 tian1 tang2
341,人非草木,ren2 fei1 cao3 mu4
342,人面兽心,ren2 mian4 shou4 xin1
343,什袭而藏,shi2 xi2 er2 cang2
344,仁人志士,ren2 ren2 zhi4 shi4
345,仁心仁术,ren2 xin1 ren2 shu4
346,仁民爱物,ren2 min2 ai4 wu4
347,仁者无敌,ren2 zhe3 wu2 di2
348,仁至义尽,ren2 zhi4 yi4 jin4
349,仅以身免,jin3 yi3 shen1 mian3
350,今非昔比,jin1 fei1 xi1 bi3
351,从一而终,cong2 yi1 er2 zhong1
352,从容就义,cong2 rong2 jiu4 yi4
353,从长计议,cong2 chang2 ji4 yi4
354,从风而靡,cong2 feng1 er2 mi2
355,仓皇无措,cang1 huang2 wu2 cuo4
356,他乡故知,ta1 xiang1 gu4 zhi1
357,他山之石,ta1 shan1 zhi1 shi2
358,仗义执言,zhang4 yi4 zhi2 yan2
359,付之一笑,fu4 zhi1 yi1 xiao4
360,付诸东流,fu4 zhu1 dong1 liu2
361,仙风道骨,xian1 feng1 dao4 gu3
362,令人发指,ling4 ren2 fa4 zhi3
363,令行禁止,ling4 xing2 jin4 zhi3
364,以一当十,yi3 yi1 dang1 shi2
365,以儆效尤,yi3 jing3 xiao4 you2
366,以卵击石,yi3 luan3 ji1 shi2
367,以屈求伸,yi3 qu1 qiu2 shen1
368,以己度人,yi3 ji3 duo2 ren2
369,以德报怨,yi3 de2 bao4 yuan4
370,以攻为守,yi3 gong1 wei2 shou3
371,以暴易暴,yi3 bao4 yi4 bao4
372,以柔克刚,yi3 rou2 ke4 gang1
373,以毒攻毒,yi3 du2 gong1 du2
374,以白为黑,yi3 bai2 wei2 hei1
375,以蚓投鱼,yi3 yin3 tou2 yu2
376,以观后效,yi3 guan1 hou4 xiao4
377,以讹传讹,yi3 e2 chuan2 e2
378,以词害意,yi3 ci2 hai4 yi4
379,以貌取人,yi3 mao4 qu3 ren2
380,以身试法,yi3 shen1 shi4 fa3
381,以退为进,yi3 tui4 wei2 jin4
382,以逸待劳,yi3 yi4 dai4 lao2
383,以邻为壑,yi3 lin2 wei2 he4
384,仪态万方,yi2 tai4 wan4 fang1
385,仪表堂堂,yi2 biao3 tang2 tang2
386,仰人鼻息,yang3 ren2 bi2 xi1
387,仰首伸眉,yang3 shou3 shen1 mei2
388,价值连城,jia4 zhi2 lian2 cheng2
389,价廉物美,jia4 lian2 wu4 mei3
390,任人唯亲,ren4 ren2 wei2 qin1
391,任其自然,ren4 qi2 zi4 ran2
392,任劳任怨,ren4 lao2 ren4 yuan4
393,任重道远,ren4 zhong4 dao4 yuan3
394,伏首帖耳,fu2 shou3 tie1 er3
395,伐毛洗髓,fa2 mao2 xi3 sui3
396,休戚相关,xiu1 qi1 xiang1 guan1
397,众人拾柴,zhong4 ren2 shi2 chai2
398,众叛亲离,zhong4 pan4 qin1 li2
399,众口难调,zhong4 kou3 nan2 tiao2
400,众川赴海,zhong4 chuan1 fu4 hai3
401,众志成城,zhong4 zhi4 cheng2 cheng2
402,众怒难犯,zhong4 nu4 nan2 fan4
403,众所周知,zhong4 suo3 zhou1 zhi1
404,众星捧月,zhong4 xing1 peng3 yue4
405,众望所归,zhong4 wang4 suo3 gui1
406,众目睽睽,zhong4 mu4 kui2 kui2
407,众矢之的,zhong4 shi3 zhi1 di4
408,众议成林,zhong4 yi4 cheng2 lin2
409,优哉游哉,you1 zai1 you2 zai1
410,优差美缺,you1 cha4 mei3 que1
411,优柔寡断,you1 rou2 gua3 duan4
412,传宗接代,chuan2 zong1 jie1 dai4
413,传杯送盏,chuan2 bei1 song4 zhan3
414,传檄而定,chuan2 xi2 er2 ding4
415,伤天害理,shang1 tian1 hai4 li3
416,伤风败俗,shang1 feng1 bai4 su2
417,伯乐相马,bo2 le4 xiang4 ma3
418,伯仲之间,bo2 zhong4 zhi1 jian1
419,伶牙俐齿,ling2 ya2 li4 chi3
420,似是而非,si4 shi4 er2 fei1
421,似曾相识,si4 ceng2 xiang1 shi2
422,似水流年,si4 shui3 liu2 nian2
423,低三下四,di1 san1 xia4 si4
424,低首下心,di1 shou3 xia4 xin1
425,体无完肤,ti3 wu2 wan2 fu1
426,体贴入微,ti3 tie1 ru4 wei1
427,何去何从,he2 qu4 he2 cong2
428,余勇可贾,yu2 yong3 ke3 gu3
429,余音绕梁,yu2 yin1 rao4 liang2
430,佛口蛇心,fo2 kou3 she2 xin1
431,佛眼相看,fo2 yan3 xiang1 kan4
432,作壁上观,zuo4 bi4 shang4 guan1
433,作威作福,zuo4 wei1 zuo4 fu2
434,作恶多端,zuo4 e4 duo1 duan1
435,作舍道边,zuo4 she3 dao4 bian1
436,作茧自缚,zuo4 jian3 zi4 fu4
437,你死我活,ni3 si3 wo3 huo2
438,佯狂避世,yang2 kuang2 bi4 shi4
439,使蚊负山,shi3 wen2 fu4 shan1
440,侃侃而谈,kan3 kan3 er2 tan2
441,例行公事,li4 xing2 gong1 shi4
442,供不应求,gong1 bu4 ying4 qiu2
443,依山傍水,yi1 shan1 bang4 shui3
444,依流平进,yi1 liu2 ping2 jin4
445,侧目而视,ce4 mu4 er2 shi4
446,促膝谈心,cu4 xi1 tan2 xin1
447,俗不可耐,su2 bu4 ke3 nai4
448,保残守缺,bao3 can2 shou3 que1
449,信口雌黄,xin4 kou3 ci2 huang2
450,信手拈来,xin4 shou3 nian1 lai2
451,信而有征,xin4 er2 you3 zheng1
452,信誓旦旦,xin4 shi4 dan4 dan4
453,信赏必罚,xin4 shang3 bi4 fa2
454,修身养性,xiu1 shen1 yang3 xing4
455,俯拾即是,fu3 shi2 ji2 shi4
456,俯首听命,fu3 shou3 ting1 ming4
457,倒冠落佩,dao3 guan1 luo4 pei4
458,倒反天罡,dao3 fan3 tian1 gang1
459,倒打一耙,dao4 da3 yi1 pa2
460,倒行逆施,dao4 xing2 ni4 shi1
461,倚老卖老,yi3 lao3 mai4 lao3
462,借刀杀人,jie4 dao1 sha1 ren2
463,借古讽今,jie4 gu3 feng3 jin1
464,借尸还魂,jie4 shi1 huan2 hun2
465,借水行舟,jie4 shui3 xing2 zhou1
466,借花献佛,jie4 hua1 xian4 fo2
467,借题发挥,jie4 ti2 fa1 hui1
468,借风使船,jie4 feng1 shi3 chuan2
469,倩人捉刀,qian4 ren2 zhuo1 dao1
470,倾囊相授,qing1 nang2 xiang1 shou4
471,倾国倾城,qing1 guo2 qing1 cheng2
472,倾家荡产,qing1 jia1 dang4 chan3
473,倾巢而出,qing1 chao2 er2 chu1
474,倾盆大雨,qing1 pen2 da4 yu3
475,倾耳注目,qing1 er3 zhu4 mu4
476,倾肠倒肚,qing1 chang2 dao4 du3
477,偃旗息鼓,yan3 qi2 xi1 gu3
478,偃武修文,yan3 wu3 xiu1 wen2
479,假仁假义,jia3 ren2 jia3 yi4
480,假以辞色,jia3 yi3 ci2 se4
481,假公济私,jia3 gong1 ji4 si1
